Player,Position,Team,Projection,Games,PPG,Tier
Chris Rodriguez Jr.,RB,WAS,2.6,8,0.33,17
Blake Watson,RB,DEN,2.6,10,0.26,17
Michael Gallup,WR,WAS,2.5,10,0.25,17
Travis Vokolek,TE,ARZ,2.4,10,0.24,11
Ko Kieft,TE,TB,2.4,15,0.16,11
Dylan Laube,RB,LV,2.2,8,0.27,17
Emani Bailey,RB,CAR,2.2,10,0.22,17
Jalen Virgil,WR,BUF,2.1,14,0.15,17
Devin Culp,TE,TB,1.9,5,0.39,11
Zaire Mitchell-Paden,TE,BLT,1.9,14,0.13,11
J.J. Taylor,RB,HST,1.7,10,0.17,17
Kylen Granson,TE,PHI,1.6,15,0.11,11
Greg Dulcich,TE,NYG,1.6,8,0.2,11
Tom Kennedy,WR,DET,1.6,10,0.16,17
Dee Eskridge,WR,MIA,1.5,8,0.19,17
Jordan Matthews,TE,CAR,1.5,10,0.15,11
