name,team,position,projection
Kylen Granson,PHI,TE,15.9
Marcus Yarns,NO,RB,15.7
Kalel Mullings,TEN,RB,15.7
Jelani Woods,IND,TE,15.5
Stone Smartt,NYJ,TE,15.5
Kalif Raymond,DET,WR,15.4
Jacob Cowing,SF,WR,15.3
Devontez Walker,BAL,WR,15.2
Johnny Wilson,PHI,WR,15.2
Jake Briningstool,KC,TE,15
Treylon Burks,TEN,WR,15
Donovan Edwards,NYJ,RB,14.9
Jake Bobo,SEA,WR,14.6
Olamide Zaccheaus,CHI,WR,14.2
Jarrett Stidham,DEN,QB,14
Daniel Bellinger,NYG,TE,13.8
Tyson Bagent,CHI,QB,13.7
KeAndre Lambert-Smith,LAC,WR,13.7
Nick Nash,ATL,WR,13
Derius Davis,LAC,WR,12.7
Craig Reynolds,DET,RB,12.6
Chris Brooks,GB,RB,12.4
Hunter Renfrow,CAR,WR,11.8
Mo Alie-Cox,IND,TE,11.7
Phil Mafah,DAL,RB,11.6
Tanner Hudson,CIN,TE,11.4
Zamir White,LV,RB,11.2
Johnny Mundt,JAC,TE,10.9
Antwane Wells Jr.,NYG,WR,10.9
Caleb Lohner,DEN,TE,10.8
Jalin Conyers,MIA,TE,10.7
Skylar Thompson,PIT,QB,10.1
Michael Carter,ARI,RB,9.8
Brock Wright,DET,TE,9.8
Jeremy McNichols,WAS,RB,9.8
Ja'Quinden Jackson,JAC,RB,9.7
KhaDarel Hodge,ATL,WR,9.4
Charlie Woerner,ATL,TE,8.8
Rondale Moore,MIN,WR,8.8
Michael Woods II,CLE,WR,8.5
Tyler Badie,DEN,RB,8.4
Pierre Strong Jr.,CLE,RB,8.3
Arian Smith,NYJ,WR,8.2
Cordarrelle Patterson,PIT,RB,8.2
Israel Abanikanda,SF,RB,8.1
Julius Chestnut,TEN,RB,8.1
Erick All Jr.,CIN,TE,8
Tyler Goodson,IND,RB,8
Jared Wiley,KC,TE,7.9
Jase McClellan,ATL,RB,7.6
Dylan Laube,LV,RB,7.5
Trey Sermon,PIT,RB,7.4
Donald Parham Jr.,PIT,TE,7.4
Patrick Taylor Jr.,SF,RB,7.4
Lucas Krull,DEN,TE,7.2
Dare Ogunbowale,HOU,RB,7.2
Sterling Shepard,TB,WR,7.1
Justin Watson,HOU,WR,6.9
K.J. Osborn,WAS,WR,6.8
Kenny McIntosh,SEA,RB,6.6
Devin Duvernay,CHI,WR,6.5
Theo Wease Jr.,MIA,WR,6.5
Jordan Watkins,SF,WR,6.5
Deuce Vaughn,DAL,RB,6.4
Dominic Lovett,DET,WR,6.3
Payne Durham,TB,TE,6.2
Jimmy Horn Jr.,CAR,WR,6.1
Blake Watson,DEN,RB,6.1
Cedrick Wilson Jr.,NO,WR,6.1
Eric Gray,NYG,RB,6.1
Durham Smythe,CHI,TE,6
DeeJay Dallas,ARI,RB,5.8
Xavier Hutchinson,HOU,WR,5.8
Davis Allen,LAR,TE,5.8
Ja'Corey Brooks,WAS,WR,5.8
Tip Reiman,ARI,TE,5.7
Charlie Kolar,BAL,TE,5.7
Raheem Blackshear,CAR,RB,5.7
Will Mallory,IND,TE,5.7
Rasheen Ali,BAL,RB,5.6
Kobe Hudson,CAR,WR,5.6
Jaheim Bell,NE,TE,5.6
Xavier Gipson,NYJ,WR,5.5
Devin Culp,TB,TE,5.5
Brevyn Spann-Ford,DAL,TE,5.4
Joshua Simon,ATL,TE,5.3
Tyler Johnson,NYJ,WR,5.3
Bub Means,NO,WR,5.2
Michael Gallup,WAS,WR,5.2
Kaden Prather,BUF,WR,5.1
Charlie Jones,CIN,WR,5.1
Jamari Thrash,CLE,WR,5.1
Ainias Smith,PHI,WR,5.1
Mecole Hardman Jr.,GB,WR,5
Dallin Holker,NO,TE,5
Evan Hull,PIT,RB,5
Carson Steele,KC,RB,4.9
Cody Schrader,LAR,RB,4.9
Connor Heyward,PIT,TE,4.8
Rakim Jarrett,TB,WR,4.8
Jha'Quan Jackson,TEN,WR,4.8
Casey Washington,ATL,WR,4.7
Jackson Hawes,BUF,TE,4.6
Gavin Bartholomew,MIN,TE,4.6
Bo Melton,GB,WR,4.2
Thomas Fidone II,NYG,TE,4.1
Kyle McCord,PHI,QB,3.8
Robbie Ouzts,SEA,TE,3.8
Hassan Haskins,LAC,RB,3.7
Case Keenum,CHI,QB,3.6
Skyy Moore,KC,WR,3.6
Kene Nwangwu,NYJ,RB,3.6
Drew Lock,SEA,QB,3.6
David Bell,CLE,WR,3.5
Bailey Zappe,KC,QB,3.3
Montrell Johnson Jr.,PHI,RB,3.3
Trayveon Williams,NE,RB,3.2
Quinn Ewers,MIA,QB,2.4
LaJohntay Wester,BAL,WR,2.2
Trey Palmer,TB,WR,2.2
Zakhari Franklin,LV,WR,2.1
Ashton Dulin,IND,WR,1.8
Elijhah Badger,KC,WR,1.8
Kevin Austin Jr.,NO,WR,1.8
Kyle Trask,TB,QB,1.4
Dorian Thompson-Robinson,PHI,QB,1.2
Mason Tipton,NO,WR,1.1
Riley Leonard,IND,QB,1
Clayton Tune,ARI,QB,0.2
Stetson Bennett,LAR,QB,-0.1
