Player,Position,Team,Overall Rank,Projection,Floor,Ceiling
Zamir White,RB,LVR,312,23,18,66
Tory Horton,WR,SEA,313,65,50,180
Isaac TeSlaa,WR,DET,314,65,49,182
Kalif Raymond,WR,DET,315,74,67,149
Chimere Dike,WR,TEN,316,65,52,178
Mitchell Evans,TE,CAR,317,38,29,150
Jonathan Mingo,WR,DAL,318,67,58,167
Brevin Jordan,TE,HOU,319,39,29,147
Calvin Austin III,WR,PIT,320,78,66,140
Deuce Vaughn,RB,DAL,321,15,10,78
Demarcus Robinson,WR,SF,322,58,50,187
Kenny McIntosh,RB,SEA,323,19,13,60
Blake Watson,RB,DEN,324,11,8,80
Josh Reynolds,WR,NYJ,325,72,51,154
Tommy Tremble,TE,CAR,326,42,38,127
Daniel Jones,QB,IND,327,105,53,174
Jordan Mims,RB,NO,328,20,13,56
Greg Dortch,WR,ARI,329,74,59,144
Kendrick Bourne,WR,NE,330,79,69,126
Drew Sample,TE,CIN,331,52,43,100
Malik Davis,RB,DAL,332,15,9,64
DeeJay Dallas,RB,ARI,333,15,11,61
Dawson Knox,TE,BUF,334,51,45,100
Tyler Boyd,WR,UNS,335,73,62,140
Dont'e Thornton Jr.,WR,LVR,336,66,50,162
Tyler Goodson,RB,IND,337,20,12,45
Josh Whyle,TE,TEN,338,39,31,128
Gabriel Davis,WR,JAC,339,64,51,160
Michael Gallup,WR,WAS,340,66,36,165
Israel Abanikanda,RB,SF,341,9,6,63
Elijah Moore,WR,BUF,342,70,57,140
Tyler Badie,RB,DEN,343,10,7,60
Luke Schoonmaker,TE,DAL,344,44,30,112
Greg Dulcich,TE,NYG,345,35,23,136
Savion Williams,WR,GB,346,59,48,166
Roman Wilson,WR,PIT,347,74,59,129
Dylan Laube,RB,LVR,348,13,7,48
Hassan Haskins,RB,LAC,349,12,9,47
Jaxson Dart,QB,NYG,350,66,33,113
